Month,Cupcake
2004-01,5
2004-02,6
2004-03,6
2004-04,6
2004-05,6
2004-06,6
2004-07,6
2004-08,5
2004-09,6
2004-10,9
2004-11,7
2004-12,6
2005-01,6
2005-02,8
2005-03,8
2005-04,8
2005-05,7
2005-06,7
2005-07,8
2005-08,8
2005-09,9
2005-10,11
2005-11,9
2005-12,8
2006-01,9
2006-02,11
2006-03,11
2006-04,12
2006-05,11
2006-06,11
2006-07,10
2006-08,12
2006-09,13
2006-10,16
2006-11,12
2006-12,12
2007-01,12
2007-02,16
2007-03,16
2007-04,16
2007-05,17
2007-06,17
2007-07,18
2007-08,18
2007-09,19
2007-10,23
2007-11,19
2007-12,18
2008-01,20
2008-02,25
2008-03,24
2008-04,24
2008-05,26
2008-06,24
2008-07,26
2008-08,26
2008-09,26
2008-10,32
2008-11,29
2008-12,27
2009-01,30
2009-02,37
2009-03,35
2009-04,35
2009-05,36
2009-06,36
2009-07,37
2009-08,39
2009-09,38
2009-10,45
2009-11,39
2009-12,36
2010-01,38
2010-02,47
2010-03,47
2010-04,46
2010-05,50
2010-06,49
2010-07,58
2010-08,63
2010-09,61
2010-10,66
2010-11,59
2010-12,55
2011-01,59
2011-02,74
2011-03,71
2011-04,76
2011-05,69
2011-06,71
2011-07,71
2011-08,78
2011-09,75
2011-10,87
2011-11,82
2011-12,79
2012-01,80
2012-02,98
2012-03,92
2012-04,94
2012-05,94
2012-06,92
2012-07,88
2012-08,90
2012-09,94
2012-10,100
2012-11,88
2012-12,86
2013-01,81
2013-02,100
2013-03,99
2013-04,89
2013-05,89
2013-06,85
2013-07,86
2013-08,87
2013-09,87
2013-10,99
2013-11,88
2013-12,87
2014-01,85
2014-02,100
2014-03,94
2014-04,90
2014-05,86
2014-06,80
2014-07,83
2014-08,81
2014-09,84
2014-10,90
2014-11,86
2014-12,79
2015-01,74
2015-02,88
2015-03,81
2015-04,77
2015-05,76
2015-06,75
2015-07,72
2015-08,72
2015-09,72
2015-10,84
2015-11,73
2015-12,70
2016-01,68
2016-02,79
2016-03,73
2016-04,67
2016-05,68
2016-06,64
2016-07,63
2016-08,59
2016-09,62
2016-10,69
2016-11,61
2016-12,58
2017-01,57
2017-02,72
2017-03,63
2017-04,61
2017-05,58
2017-06,55
2017-07,52
2017-08,53
2017-09,55
2017-10,62
2017-11,55
2017-12,53
2018-01,51
2018-02,60
2018-03,59
2018-04,51
2018-05,54
2018-06,49
2018-07,47
2018-08,49
2018-09,50
2018-10,54
2018-11,49
2018-12,50
2019-01,52
2019-02,57
2019-03,51
2019-04,50
2019-05,48
2019-06,44
2019-07,42
2019-08,44
2019-09,46
2019-10,55
2019-11,47
2019-12,45
2020-01,43
2020-02,51
2020-03,45
2020-04,57
2020-05,61
2020-06,53
2020-07,49
2020-08,47
2020-09,45
